created_at,water level
2021-04-10 06:49:50 UTC,8
2021-04-10 06:50:09 UTC,3
2021-04-10 06:50:29 UTC,2
2021-04-10 06:50:49 UTC,2
2021-04-10 06:51:09 UTC,20
2021-04-10 06:51:30 UTC,21
2021-04-10 06:51:50 UTC,7
2021-04-10 06:52:10 UTC,6
2021-04-10 06:52:29 UTC,7
2021-04-10 06:52:49 UTC,4
2021-04-10 06:53:09 UTC,3
2021-04-10 06:53:29 UTC,5
2021-04-10 06:53:49 UTC,5
2021-04-10 06:54:10 UTC,3
2021-04-10 06:54:30 UTC,2
2021-04-10 06:54:49 UTC,5
2021-04-10 06:55:10 UTC,65
2021-04-10 06:55:29 UTC,2
2021-04-10 06:55:49 UTC,3
2021-04-10 06:56:09 UTC,139
2021-04-10 06:56:30 UTC,4
2021-04-10 06:56:49 UTC,4
2021-04-10 06:57:09 UTC,72
2021-04-10 06:57:30 UTC,23
2021-04-10 10:14:05 UTC,1191
2021-04-10 10:14:25 UTC,1191
2021-04-10 10:14:45 UTC,1191
2021-04-10 10:15:05 UTC,1191
2021-04-10 10:15:25 UTC,1191
2021-04-10 10:15:45 UTC,11
2021-04-10 10:16:05 UTC,5
2021-04-10 10:16:25 UTC,13
2021-04-10 10:16:45 UTC,2
2021-04-10 10:17:05 UTC,4
2021-04-10 10:17:25 UTC,6
2021-04-10 10:17:45 UTC,21
2021-04-10 10:19:28 UTC,8
2021-04-10 10:19:48 UTC,1191
2021-04-10 10:20:08 UTC,1191
2021-04-10 10:20:28 UTC,12
2021-04-10 10:20:48 UTC,6
2021-04-10 10:21:08 UTC,132
2021-04-10 10:21:28 UTC,6
2021-04-10 10:21:48 UTC,15
2021-04-10 10:22:08 UTC,17
2021-04-10 10:22:28 UTC,30
2021-04-10 10:22:48 UTC,29
2021-04-10 10:23:08 UTC,10
2021-04-10 10:23:28 UTC,7
2021-04-10 10:23:48 UTC,7
2021-04-10 10:24:08 UTC,13
2021-04-10 10:24:28 UTC,137
2021-04-10 10:24:48 UTC,137
2021-04-10 10:25:08 UTC,142
2021-04-10 10:25:28 UTC,33
2021-04-10 10:25:48 UTC,7
2021-04-10 10:26:08 UTC,3
2021-04-10 10:26:28 UTC,78
2021-04-10 10:26:48 UTC,9
2021-04-10 10:27:08 UTC,42
2021-04-10 10:27:28 UTC,3
2021-04-10 10:27:48 UTC,25
2021-04-10 10:28:08 UTC,2
2021-04-10 10:28:28 UTC,5
2021-04-10 10:28:48 UTC,8
2021-04-10 10:29:08 UTC,5
2021-04-10 10:29:28 UTC,2
2021-04-10 10:29:48 UTC,6
2021-04-10 10:30:08 UTC,9
2021-04-10 10:30:28 UTC,11
2021-04-10 10:30:48 UTC,4
2021-04-10 10:31:08 UTC,5
2021-04-10 10:31:28 UTC,5
2021-04-11 06:52:57 UTC,5
2021-04-11 06:52:57 UTC,6
2021-04-11 06:52:57 UTC,7
2021-04-11 06:52:57 UTC,10
2021-04-11 06:52:57 UTC,7
2021-04-11 06:52:57 UTC,7
2021-04-11 06:52:57 UTC,8
2021-04-11 06:52:57 UTC,8
2021-04-11 06:52:57 UTC,8
2021-04-11 06:52:57 UTC,8
2021-04-11 06:52:57 UTC,8
2021-04-11 06:52:57 UTC,8
2021-04-11 06:52:57 UTC,5
2021-04-11 06:52:57 UTC,5
2021-04-11 06:52:57 UTC,8
2021-04-11 06:52:57 UTC,6
2021-04-11 06:52:57 UTC,7
2021-04-11 06:52:57 UTC,6
2021-04-11 06:52:57 UTC,5
2021-04-11 06:52:57 UTC,5
2021-04-11 06:52:57 UTC,5
2021-04-11 06:52:57 UTC,5
2021-04-11 06:52:57 UTC,5
2021-04-11 06:52:57 UTC,5
2021-04-11 06:52:57 UTC,5
2021-04-11 06:52:57 UTC,27
2021-04-11 06:52:57 UTC,7
2021-04-11 06:52:57 UTC,7
2021-04-11 06:52:57 UTC,8
2021-04-11 06:52:57 UTC,7
2021-04-11 06:52:57 UTC,7
2021-04-11 06:52:57 UTC,7
2021-04-11 06:52:57 UTC,6
2021-04-11 06:52:57 UTC,5
2021-04-11 06:52:57 UTC,5
2021-04-11 06:52:57 UTC,5
2021-04-11 06:52:57 UTC,5
2021-04-11 06:52:57 UTC,5
2021-04-11 06:52:57 UTC,6
2021-04-11 06:52:57 UTC,7
2021-04-11 06:52:57 UTC,7
2021-04-11 06:52:57 UTC,7
2021-04-11 06:52:57 UTC,7
2021-04-11 06:52:57 UTC,7
2021-04-11 06:52:57 UTC,7
